Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
33,Penn (Ivy League),13,6-7,131,467,0.281,05/16/2015,2015.0
34,Fairfield (CAA),15,9-6,144,515,0.280,05/16/2015,2015.0
35,Penn St. (Big Ten),14,5-9,129,463,0.279,05/16/2015,2015.0
36,Rutgers (Big Ten),15,5-10,155,558,0.278,05/16/2015,2015.0
37,Bucknell (Patriot),15,9-6,144,519,0.277,05/16/2015,2015.0
38,Dartmouth (Ivy League),13,5-8,114,412,0.277,05/16/2015,2015.0
39,UMBC (America East),13,5-8,111,402,0.276,05/16/2015,2015.0
40,St. John's (NY) (Big East),14,3-11,138,503,0.274,05/16/2015,2015.0
41,Jacksonville (SoCon),12,4-8,109,398,0.274,05/16/2015,2015.0
42,Loyola Maryland (Patriot),15,7-8,168,615,0.273,05/16/2015,2015.0
43,Air Force (ECAC),15,8-7,145,536,0.271,05/16/2015,2015.0
44,Saint Joseph's (NEC),17,11-6,182,675,0.270,05/16/2015,2015.0
45,Bryant (NEC),18,8-10,149,554,0.269,05/16/2015,2015.0
46,Hobart (NEC),14,7-7,118,440,0.268,05/16/2015,2015.0
47,Sacred Heart (NEC),13,6-7,112,419,0.267,05/16/2015,2015.0
48,Michigan (Big Ten),13,5-8,128,479,0.267,05/16/2015,2015.0
49,Maryland (Big Ten),16,13-3,163,619,0.263,05/16/2015,2015.0
50,Cornell (Ivy League),16,10-6,184,699,0.263,05/16/2015,2015.0
51,Boston U. (Patriot),14,6-8,150,571,0.263,05/16/2015,2015.0
52,Lafayette (Patriot),14,4-10,127,485,0.262,05/16/2015,2015.0
53,Robert Morris (NEC),14,3-11,133,508,0.262,05/16/2015,2015.0
54,Hofstra (CAA),14,5-9,133,522,0.255,05/16/2015,2015.0
55,Providence (Big East),14,5-9,113,445,0.254,05/16/2015,2015.0
56,Siena (MAAC),14,5-9,130,524,0.248,05/16/2015,2015.0
57,Towson (CAA),18,12-6,154,632,0.244,05/16/2015,2015.0
58,Villanova (Big East),14,6-8,131,540,0.243,05/16/2015,2015.0
59,Canisius (MAAC),15,3-12,118,489,0.241,05/16/2015,2015.0
60,Wagner (NEC),13,4-9,93,410,0.227,05/16/2015,2015.0
61,Mount St. Mary's (NEC),15,5-10,110,485,0.227,05/16/2015,2015.0
62,Drexel (CAA),15,7-8,130,577,0.225,05/16/2015,2015.0
63,Monmouth (MAAC),14,6-8,93,436,0.213,05/16/2015,2015.0
64,Furman (SoCon),13,4-9,94,445,0.211,05/16/2015,2015.0
65,Mercer (SoCon),13,5-8,108,526,0.205,05/16/2015,2015.0
66,VMI (SoCon),15,1-14,78,421,0.185,05/16/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,420,0.176,05/16/2015,2015.0
68,NJIT (Independent),12,0-12,54,314,0.172,05/16/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,427,0.222,05/16/2015,2015.0
1,Stony Brook (America East),18,13-5,250,622,0.402,05/10/2015,2015.0
2,UAlbany (America East),18,16-2,315,854,0.369,05/10/2015,2015.0
3,Denver (Big East),16,14-2,225,625,0.360,05/10/2015,2015.0
4,Colgate (Patriot),16,10-6,169,479,0.353,05/10/2015,2015.0
5,Princeton (Ivy League),15,9-6,180,523,0.344,05/10/2015,2015.0
6,Syracuse (ACC),15,13-2,223,648,0.344,05/10/2015,2015.0
7,Notre Dame (ACC),13,11-2,175,509,0.344,05/10/2015,2015.0
8,North Carolina (ACC),16,13-3,237,710,0.334,05/10/2015,2015.0
9,Johns Hopkins (Big Ten),16,10-6,207,627,0.330,05/10/2015,2015.0
10,Virginia (ACC),15,10-5,181,551,0.328,05/10/2015,2015.0
