Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
43,Sacred Heart (NEC),4,1-3,36,170,0.212,02/27/2021,2021.0
44,Penn St. (Big Ten),2,0-2,16,76,0.211,02/27/2021,2021.0
45,Saint Joseph's (NEC),3,0-3,25,125,0.200,02/27/2021,2021.0
46,NJIT (America East),2,0-2,14,79,0.177,02/27/2021,2021.0
-,Merrimack (NEC),2,1-1,28,101,0.277,02/27/2021,2021.0
1,High Point (SoCon),2,1-1,36,83,0.434,02/26/2021,2021.0
2,Boston U. (Patriot),1,1-0,15,35,0.429,02/26/2021,2021.0
3,Maryland (Big Ten),2,2-0,33,81,0.407,02/26/2021,2021.0
4,Hofstra (CAA),2,1-1,31,79,0.392,02/26/2021,2021.0
5,Duke (ACC),4,4-0,64,165,0.388,02/26/2021,2021.0
6,Ohio St. (Big Ten),1,1-0,14,37,0.378,02/26/2021,2021.0
7,Georgetown (Big East),1,1-0,16,43,0.372,02/26/2021,2021.0
8,Stony Brook (America East),2,2-0,34,95,0.358,02/26/2021,2021.0
9,St. John's (NY) (Big East),2,1-1,27,79,0.342,02/26/2021,2021.0
10,Robert Morris (DI Independent),3,1-2,44,129,0.341,02/26/2021,2021.0
11,Jacksonville (SoCon),3,2-1,38,112,0.339,02/26/2021,2021.0
12,Virginia (ACC),3,3-0,49,146,0.336,02/26/2021,2021.0
13,Colgate (Patriot),1,0-1,14,42,0.333,02/26/2021,2021.0
13,North Carolina (ACC),4,4-0,73,219,0.333,02/26/2021,2021.0
15,Army West Point (Patriot),2,1-1,27,82,0.329,02/26/2021,2021.0
16,Delaware (CAA),3,2-1,38,117,0.325,02/26/2021,2021.0
17,Syracuse (ACC),1,0-1,11,36,0.306,02/26/2021,2021.0
18,Towson (CAA),4,2-2,37,124,0.298,02/26/2021,2021.0
19,Bellarmine (SoCon),3,1-2,24,82,0.293,02/26/2021,2021.0
20,Michigan (Big Ten),1,0-1,9,32,0.281,02/26/2021,2021.0
21,Utah (DI Independent),3,1-2,29,104,0.279,02/26/2021,2021.0
22,Rutgers (Big Ten),1,1-0,11,40,0.275,02/26/2021,2021.0
23,Mercer (SoCon),4,1-3,43,159,0.270,02/26/2021,2021.0
24,LIU (NEC),1,0-1,10,38,0.263,02/26/2021,2021.0
25,UMBC (America East),1,1-0,8,31,0.258,02/26/2021,2021.0
26,Johns Hopkins (Big Ten),1,0-1,8,32,0.250,02/26/2021,2021.0
26,Marquette (Big East),1,0-1,9,36,0.250,02/26/2021,2021.0
26,Navy (Patriot),1,1-0,8,32,0.250,02/26/2021,2021.0
29,Richmond (SoCon),2,0-2,16,65,0.246,02/26/2021,2021.0
30,Loyola Maryland (Patriot),2,1-1,20,82,0.244,02/26/2021,2021.0
31,Providence (Big East),2,1-1,24,102,0.235,02/26/2021,2021.0
32,Denver (Big East),5,3-2,57,243,0.235,02/26/2021,2021.0
33,Saint Joseph's (NEC),2,0-2,20,88,0.227,02/26/2021,2021.0
34,Bryant (NEC),2,1-1,17,78,0.218,02/26/2021,2021.0
35,Mount St. Mary's (NEC),4,1-3,27,126,0.214,02/26/2021,2021.0
36,Penn St. (Big Ten),2,0-2,16,76,0.211,02/26/2021,2021.0
37,Air Force (SoCon),2,1-1,16,78,0.205,02/26/2021,2021.0
38,Sacred Heart (NEC),3,1-2,26,127,0.205,02/26/2021,2021.0
39,NJIT (America East),1,0-1,4,45,0.089,02/26/2021,2021.0
40,Villanova (Big East),1,0-1,1,27,0.037,02/26/2021,2021.0
-,Merrimack (NEC),1,0-1,12,56,0.214,02/26/2021,2021.0
1,High Point (SoCon),2,1-1,36,83,0.434,02/24/2021,2021.0
2,Boston U. (Patriot),1,1-0,15,35,0.429,02/24/2021,2021.0
3,Maryland (Big Ten),1,1-0,20,48,0.417,02/24/2021,2021.0
4,Hofstra (CAA),2,1-1,31,79,0.392,02/24/2021,2021.0
5,Duke (ACC),4,4-0,64,165,0.388,02/24/2021,2021.0
6,Ohio St. (Big Ten),1,1-0,14,37,0.378,02/24/2021,2021.0
7,Georgetown (Big East),1,1-0,16,43,0.372,02/24/2021,2021.0
8,Stony Brook (America East),2,2-0,34,95,0.358,02/24/2021,2021.0
9,St. John's (NY) (Big East),2,1-1,27,79,0.342,02/24/2021,2021.0
10,Robert Morris (DI Independent),3,1-2,44,129,0.341,02/24/2021,2021.0
11,Jacksonville (SoCon),3,2-1,38,112,0.339,02/24/2021,2021.0
12,Virginia (ACC),3,3-0,49,146,0.336,02/24/2021,2021.0
13,Colgate (Patriot),1,0-1,14,42,0.333,02/24/2021,2021.0
13,North Carolina (ACC),4,4-0,73,219,0.333,02/24/2021,2021.0
15,Army West Point (Patriot),2,1-1,27,82,0.329,02/24/2021,2021.0
16,Delaware (CAA),3,2-1,38,117,0.325,02/24/2021,2021.0
17,Syracuse (ACC),1,0-1,11,36,0.306,02/24/2021,2021.0
18,Towson (CAA),4,2-2,37,124,0.298,02/24/2021,2021.0
19,Bellarmine (SoCon),3,1-2,24,82,0.293,02/24/2021,2021.0
20,Michigan (Big Ten),1,0-1,9,32,0.281,02/24/2021,2021.0
21,Utah (DI Independent),3,1-2,29,104,0.279,02/24/2021,2021.0
22,Rutgers (Big Ten),1,1-0,11,40,0.275,02/24/2021,2021.0
23,Mercer (SoCon),4,1-3,43,159,0.270,02/24/2021,2021.0
24,LIU (NEC),1,0-1,10,38,0.263,02/24/2021,2021.0
25,Johns Hopkins (Big Ten),1,0-1,8,32,0.250,02/24/2021,2021.0
25,Marquette (Big East),1,0-1,9,36,0.250,02/24/2021,2021.0
25,Navy (Patriot),1,1-0,8,32,0.250,02/24/2021,2021.0
28,Richmond (SoCon),2,0-2,16,65,0.246,02/24/2021,2021.0
29,Loyola Maryland (Patriot),2,1-1,20,82,0.244,02/24/2021,2021.0
30,Providence (Big East),2,1-1,24,102,0.235,02/24/2021,2021.0
31,Denver (Big East),5,3-2,57,243,0.235,02/24/2021,2021.0
32,Penn St. (Big Ten),1,0-1,9,39,0.231,02/24/2021,2021.0
33,Saint Joseph's (NEC),2,0-2,20,88,0.227,02/24/2021,2021.0
34,Bryant (NEC),2,1-1,17,78,0.218,02/24/2021,2021.0
35,Air Force (SoCon),2,1-1,16,78,0.205,02/24/2021,2021.0
36,Sacred Heart (NEC),3,1-2,26,127,0.205,02/24/2021,2021.0
37,Mount St. Mary's (NEC),3,1-2,20,99,0.202,02/24/2021,2021.0
38,NJIT (America East),1,0-1,4,45,0.089,02/24/2021,2021.0
39,Villanova (Big East),1,0-1,1,27,0.037,02/24/2021,2021.0
-,Merrimack (NEC),1,0-1,12,56,0.214,02/24/2021,2021.0
1,High Point (SoCon),2,1-1,36,83,0.434,02/24/2021,2021.0
2,Boston U. (Patriot),1,1-0,15,35,0.429,02/24/2021,2021.0
3,Maryland (Big Ten),1,1-0,20,48,0.417,02/24/2021,2021.0
4,Hofstra (CAA),2,1-1,31,79,0.392,02/24/2021,2021.0
5,Duke (ACC),4,4-0,64,165,0.388,02/24/2021,2021.0
6,Ohio St. (Big Ten),1,1-0,14,37,0.378,02/24/2021,2021.0
7,Georgetown (Big East),1,1-0,16,43,0.372,02/24/2021,2021.0
8,Stony Brook (America East),2,2-0,34,95,0.358,02/24/2021,2021.0
9,St. John's (NY) (Big East),2,1-1,27,79,0.342,02/24/2021,2021.0
10,Robert Morris (DI Independent),3,1-2,44,129,0.341,02/24/2021,2021.0
11,Jacksonville (SoCon),3,2-1,38,112,0.339,02/24/2021,2021.0
12,Virginia (ACC),3,3-0,49,146,0.336,02/24/2021,2021.0
13,Colgate (Patriot),1,0-1,14,42,0.333,02/24/2021,2021.0
13,North Carolina (ACC),4,4-0,73,219,0.333,02/24/2021,2021.0
15,Army West Point (Patriot),2,1-1,27,82,0.329,02/24/2021,2021.0
16,Delaware (CAA),3,2-1,38,117,0.325,02/24/2021,2021.0
17,Syracuse (ACC),1,0-1,11,36,0.306,02/24/2021,2021.0
18,Towson (CAA),4,2-2,37,124,0.298,02/24/2021,2021.0
19,Bellarmine (SoCon),3,1-2,24,82,0.293,02/24/2021,2021.0
20,Michigan (Big Ten),1,0-1,9,32,0.281,02/24/2021,2021.0
21,Utah (DI Independent),3,1-2,29,104,0.279,02/24/2021,2021.0
22,Rutgers (Big Ten),1,1-0,11,40,0.275,02/24/2021,2021.0
23,Mercer (SoCon),4,1-3,43,159,0.270,02/24/2021,2021.0
24,LIU (NEC),1,0-1,10,38,0.263,02/24/2021,2021.0
25,Johns Hopkins (Big Ten),1,0-1,8,32,0.250,02/24/2021,2021.0
25,Marquette (Big East),1,0-1,9,36,0.250,02/24/2021,2021.0
25,Navy (Patriot),1,1-0,8,32,0.250,02/24/2021,2021.0
28,Richmond (SoCon),2,0-2,16,65,0.246,02/24/2021,2021.0
29,Loyola Maryland (Patriot),2,1-1,20,82,0.244,02/24/2021,2021.0
30,Providence (Big East),2,1-1,24,102,0.235,02/24/2021,2021.0
31,Denver (Big East),5,3-2,57,243,0.235,02/24/2021,2021.0
32,Penn St. (Big Ten),1,0-1,9,39,0.231,02/24/2021,2021.0
33,Saint Joseph's (NEC),2,0-2,20,88,0.227,02/24/2021,2021.0
34,Bryant (NEC),2,1-1,17,78,0.218,02/24/2021,2021.0
35,Air Force (SoCon),2,1-1,16,78,0.205,02/24/2021,2021.0
36,Sacred Heart (NEC),3,1-2,26,127,0.205,02/24/2021,2021.0
37,Mount St. Mary's (NEC),3,1-2,20,99,0.202,02/24/2021,2021.0
38,NJIT (America East),1,0-1,4,45,0.089,02/24/2021,2021.0
39,Villanova (Big East),1,0-1,1,27,0.037,02/24/2021,2021.0
-,Merrimack (NEC),1,0-1,12,56,0.214,02/24/2021,2021.0
1,High Point (SoCon),2,1-1,36,83,0.434,02/23/2021,2021.0
2,Boston U. (Patriot),1,1-0,15,35,0.429,02/23/2021,2021.0
3,Maryland (Big Ten),1,1-0,20,48,0.417,02/23/2021,2021.0
4,Hofstra (CAA),2,1-1,31,79,0.392,02/23/2021,2021.0
5,Duke (ACC),4,4-0,64,165,0.388,02/23/2021,2021.0
6,Ohio St. (Big Ten),1,1-0,14,37,0.378,02/23/2021,2021.0
7,Georgetown (Big East),1,1-0,16,43,0.372,02/23/2021,2021.0
8,Stony Brook (America East),2,2-0,34,95,0.358,02/23/2021,2021.0
9,St. John's (NY) (Big East),2,1-1,27,79,0.342,02/23/2021,2021.0
10,Robert Morris (DI Independent),3,1-2,44,129,0.341,02/23/2021,2021.0
11,Jacksonville (SoCon),3,2-1,38,112,0.339,02/23/2021,2021.0
12,Virginia (ACC),3,3-0,49,146,0.336,02/23/2021,2021.0
13,Colgate (Patriot),1,0-1,14,42,0.333,02/23/2021,2021.0
13,North Carolina (ACC),4,4-0,73,219,0.333,02/23/2021,2021.0
15,Army West Point (Patriot),2,1-1,27,82,0.329,02/23/2021,2021.0
16,Delaware (CAA),3,2-1,38,117,0.325,02/23/2021,2021.0
17,Syracuse (ACC),1,0-1,11,36,0.306,02/23/2021,2021.0
18,Bellarmine (SoCon),3,1-2,24,82,0.293,02/23/2021,2021.0
19,Michigan (Big Ten),1,0-1,9,32,0.281,02/23/2021,2021.0
20,Utah (DI Independent),3,1-2,29,104,0.279,02/23/2021,2021.0
21,Rutgers (Big Ten),1,1-0,11,40,0.275,02/23/2021,2021.0
22,Mercer (SoCon),4,1-3,43,159,0.270,02/23/2021,2021.0
23,Towson (CAA),3,1-2,26,101,0.257,02/23/2021,2021.0
24,Johns Hopkins (Big Ten),1,0-1,8,32,0.250,02/23/2021,2021.0
24,Marquette (Big East),1,0-1,9,36,0.250,02/23/2021,2021.0
24,Navy (Patriot),1,1-0,8,32,0.250,02/23/2021,2021.0
27,Richmond (SoCon),2,0-2,16,65,0.246,02/23/2021,2021.0
28,Loyola Maryland (Patriot),2,1-1,20,82,0.244,02/23/2021,2021.0
29,Providence (Big East),2,1-1,24,102,0.235,02/23/2021,2021.0
30,Denver (Big East),5,3-2,57,243,0.235,02/23/2021,2021.0
31,Penn St. (Big Ten),1,0-1,9,39,0.231,02/23/2021,2021.0
32,Mount St. Mary's (NEC),2,1-1,15,66,0.227,02/23/2021,2021.0
32,Saint Joseph's (NEC),2,0-2,20,88,0.227,02/23/2021,2021.0
34,Bryant (NEC),2,1-1,17,78,0.218,02/23/2021,2021.0
35,Sacred Heart (NEC),2,0-2,14,65,0.215,02/23/2021,2021.0
36,Air Force (SoCon),2,1-1,16,78,0.205,02/23/2021,2021.0
37,NJIT (America East),1,0-1,4,45,0.089,02/23/2021,2021.0
38,Villanova (Big East),1,0-1,1,27,0.037,02/23/2021,2021.0
-,Merrimack (NEC),1,0-1,12,56,0.214,02/23/2021,2021.0
1,High Point (SoCon),2,1-1,36,83,0.434,02/21/2021,2021.0
2,Boston U. (Patriot),1,1-0,15,35,0.429,02/21/2021,2021.0
3,Maryland (Big Ten),1,1-0,20,48,0.417,02/21/2021,2021.0
4,Hofstra (CAA),2,1-1,31,79,0.392,02/21/2021,2021.0
5,Duke (ACC),4,4-0,64,165,0.388,02/21/2021,2021.0
6,Ohio St. (Big Ten),1,1-0,14,37,0.378,02/21/2021,2021.0
7,Georgetown (Big East),1,1-0,16,43,0.372,02/21/2021,2021.0
8,Stony Brook (America East),2,2-0,34,95,0.358,02/21/2021,2021.0
9,St. John's (NY) (Big East),2,1-1,27,79,0.342,02/21/2021,2021.0
10,Robert Morris (DI Independent),3,1-2,44,129,0.341,02/21/2021,2021.0
11,Jacksonville (SoCon),3,2-1,38,112,0.339,02/21/2021,2021.0
12,Virginia (ACC),3,3-0,49,146,0.336,02/21/2021,2021.0
13,Colgate (Patriot),1,0-1,14,42,0.333,02/21/2021,2021.0
13,North Carolina (ACC),4,4-0,73,219,0.333,02/21/2021,2021.0
15,Army West Point (Patriot),2,1-1,27,82,0.329,02/21/2021,2021.0
16,Syracuse (ACC),1,0-1,11,36,0.306,02/21/2021,2021.0
17,Bellarmine (SoCon),3,1-2,24,82,0.293,02/21/2021,2021.0
18,Delaware (CAA),2,1-1,22,78,0.282,02/21/2021,2021.0
19,Michigan (Big Ten),1,0-1,9,32,0.281,02/21/2021,2021.0
20,Utah (DI Independent),3,1-2,29,104,0.279,02/21/2021,2021.0
21,Rutgers (Big Ten),1,1-0,11,40,0.275,02/21/2021,2021.0
22,Mercer (SoCon),4,1-3,43,159,0.270,02/21/2021,2021.0
23,Towson (CAA),3,1-2,26,101,0.257,02/21/2021,2021.0
24,Johns Hopkins (Big Ten),1,0-1,8,32,0.250,02/21/2021,2021.0
24,Marquette (Big East),1,0-1,9,36,0.250,02/21/2021,2021.0
24,Navy (Patriot),1,1-0,8,32,0.250,02/21/2021,2021.0
27,Richmond (SoCon),2,0-2,16,65,0.246,02/21/2021,2021.0
28,Loyola Maryland (Patriot),2,1-1,20,82,0.244,02/21/2021,2021.0
29,Providence (Big East),2,1-1,24,102,0.235,02/21/2021,2021.0
30,Denver (Big East),5,3-2,57,243,0.235,02/21/2021,2021.0
31,Penn St. (Big Ten),1,0-1,9,39,0.231,02/21/2021,2021.0
32,Mount St. Mary's (NEC),2,1-1,15,66,0.227,02/21/2021,2021.0
33,Bryant (NEC),2,1-1,17,78,0.218,02/21/2021,2021.0
34,Sacred Heart (NEC),2,0-2,14,65,0.215,02/21/2021,2021.0
35,Saint Joseph's (NEC),1,0-1,7,34,0.206,02/21/2021,2021.0
36,Air Force (SoCon),2,1-1,16,78,0.205,02/21/2021,2021.0
37,NJIT (America East),1,0-1,4,45,0.089,02/21/2021,2021.0
38,Villanova (Big East),1,0-1,1,27,0.037,02/21/2021,2021.0
-,Merrimack (NEC),1,0-1,12,56,0.214,02/21/2021,2021.0
1,High Point (SoCon),2,1-1,36,83,0.434,02/20/2021,2021.0
2,Boston U. (Patriot),1,1-0,15,35,0.429,02/20/2021,2021.0
3,Maryland (Big Ten),1,1-0,20,48,0.417,02/20/2021,2021.0
4,Hofstra (CAA),2,1-1,31,79,0.392,02/20/2021,2021.0
5,Duke (ACC),4,4-0,64,165,0.388,02/20/2021,2021.0
6,Ohio St. (Big Ten),1,1-0,14,37,0.378,02/20/2021,2021.0
7,Jacksonville (SoCon),2,1-1,26,70,0.371,02/20/2021,2021.0
8,St. John's (NY) (Big East),1,1-0,19,53,0.358,02/20/2021,2021.0
9,Stony Brook (America East),2,2-0,34,95,0.358,02/20/2021,2021.0
10,North Carolina (ACC),3,3-0,59,173,0.341,02/20/2021,2021.0
11,Virginia (ACC),3,3-0,49,146,0.336,02/20/2021,2021.0
12,Robert Morris (DI Independent),2,0-2,27,81,0.333,02/20/2021,2021.0
13,Bellarmine (SoCon),3,1-2,24,82,0.293,02/20/2021,2021.0
14,Delaware (CAA),2,1-1,22,78,0.282,02/20/2021,2021.0
15,Michigan (Big Ten),1,0-1,9,32,0.281,02/20/2021,2021.0
16,Utah (DI Independent),3,1-2,29,104,0.279,02/20/2021,2021.0
17,Rutgers (Big Ten),1,1-0,11,40,0.275,02/20/2021,2021.0
18,Mercer (SoCon),3,1-2,32,117,0.274,02/20/2021,2021.0
19,Towson (CAA),3,1-2,26,101,0.257,02/20/2021,2021.0
20,Johns Hopkins (Big Ten),1,0-1,8,32,0.250,02/20/2021,2021.0
20,Marquette (Big East),1,0-1,9,36,0.250,02/20/2021,2021.0
20,Navy (Patriot),1,1-0,8,32,0.250,02/20/2021,2021.0
23,Loyola Maryland (Patriot),2,1-1,20,82,0.244,02/20/2021,2021.0
24,Army West Point (Patriot),1,0-1,9,38,0.237,02/20/2021,2021.0
25,Denver (Big East),5,3-2,57,243,0.235,02/20/2021,2021.0
26,Penn St. (Big Ten),1,0-1,9,39,0.231,02/20/2021,2021.0
27,Mount St. Mary's (NEC),2,1-1,15,66,0.227,02/20/2021,2021.0
28,Richmond (SoCon),1,0-1,7,32,0.219,02/20/2021,2021.0
29,Bryant (NEC),2,1-1,17,78,0.218,02/20/2021,2021.0
30,Sacred Heart (NEC),2,0-2,14,65,0.215,02/20/2021,2021.0
31,Saint Joseph's (NEC),1,0-1,7,34,0.206,02/20/2021,2021.0
32,Air Force (SoCon),2,1-1,16,78,0.205,02/20/2021,2021.0
33,Providence (Big East),1,0-1,8,43,0.186,02/20/2021,2021.0
34,NJIT (America East),1,0-1,4,45,0.089,02/20/2021,2021.0
-,Merrimack (NEC),1,0-1,12,56,0.214,02/20/2021,2021.0
1,Hofstra (CAA),1,0-1,18,35,0.514,02/17/2021,2021.0
2,High Point (SoCon),2,1-1,36,83,0.434,02/17/2021,2021.0
3,Duke (ACC),3,3-0,45,115,0.391,02/17/2021,2021.0
4,Jacksonville (SoCon),2,1-1,26,70,0.371,02/17/2021,2021.0
5,Stony Brook (America East),1,1-0,20,55,0.364,02/17/2021,2021.0
6,St. John's (NY) (Big East),1,1-0,19,53,0.358,02/17/2021,2021.0
7,Virginia (ACC),2,2-0,34,96,0.354,02/17/2021,2021.0
8,North Carolina (ACC),3,3-0,59,173,0.341,02/17/2021,2021.0
9,Robert Morris (DI Independent),2,0-2,27,81,0.333,02/17/2021,2021.0
10,Utah (DI Independent),2,1-1,20,67,0.299,02/17/2021,2021.0
11,Bellarmine (SoCon),3,1-2,24,82,0.293,02/17/2021,2021.0
12,Delaware (CAA),1,0-1,7,25,0.280,02/17/2021,2021.0
13,Mercer (SoCon),3,1-2,32,117,0.274,02/17/2021,2021.0
14,Towson (CAA),2,1-1,19,73,0.260,02/17/2021,2021.0
15,Mount St. Mary's (NEC),1,1-0,10,39,0.256,02/17/2021,2021.0
16,Sacred Heart (NEC),1,0-1,8,33,0.242,02/17/2021,2021.0
17,Denver (Big East),4,2-2,47,194,0.242,02/17/2021,2021.0
18,Army West Point (Patriot),1,0-1,9,38,0.237,02/17/2021,2021.0
18,Bryant (NEC),1,1-0,9,38,0.237,02/17/2021,2021.0
20,Loyola Maryland (Patriot),1,1-0,8,36,0.222,02/17/2021,2021.0
21,Richmond (SoCon),1,0-1,7,32,0.219,02/17/2021,2021.0
22,Saint Joseph's (NEC),1,0-1,7,34,0.206,02/17/2021,2021.0
23,Providence (Big East),1,0-1,8,42,0.190,02/17/2021,2021.0
24,Air Force (SoCon),1,0-1,6,35,0.171,02/17/2021,2021.0
1,Hofstra (CAA),1,0-1,18,35,0.514,02/16/2021,2021.0
2,High Point (SoCon),2,1-1,36,83,0.434,02/16/2021,2021.0
3,Duke (ACC),3,3-0,45,115,0.391,02/16/2021,2021.0
4,Jacksonville (SoCon),2,1-1,26,70,0.371,02/16/2021,2021.0
5,Stony Brook (America East),1,1-0,20,55,0.364,02/16/2021,2021.0
6,St. John's (NY) (Big East),1,1-0,19,53,0.358,02/16/2021,2021.0
7,Virginia (ACC),2,2-0,34,96,0.354,02/16/2021,2021.0
8,North Carolina (ACC),3,3-0,59,173,0.341,02/16/2021,2021.0
9,Robert Morris (DI Independent),2,0-2,27,81,0.333,02/16/2021,2021.0
10,Utah (DI Independent),2,1-1,20,67,0.299,02/16/2021,2021.0
11,Bellarmine (SoCon),3,1-2,24,82,0.293,02/16/2021,2021.0
12,Mercer (SoCon),3,1-2,32,117,0.274,02/16/2021,2021.0
13,Towson (CAA),2,1-1,19,73,0.260,02/16/2021,2021.0
14,Sacred Heart (NEC),1,0-1,8,33,0.242,02/16/2021,2021.0
15,Denver (Big East),4,2-2,47,194,0.242,02/16/2021,2021.0
16,Army West Point (Patriot),1,0-1,9,38,0.237,02/16/2021,2021.0
16,Bryant (NEC),1,1-0,9,38,0.237,02/16/2021,2021.0
18,Loyola Maryland (Patriot),1,1-0,8,36,0.222,02/16/2021,2021.0
19,Richmond (SoCon),1,0-1,7,32,0.219,02/16/2021,2021.0
20,Saint Joseph's (NEC),1,0-1,7,34,0.206,02/16/2021,2021.0
21,Providence (Big East),1,0-1,8,42,0.190,02/16/2021,2021.0
22,Air Force (SoCon),1,0-1,6,35,0.171,02/16/2021,2021.0
1,Hofstra (CAA),1,0-1,18,35,0.514,02/14/2021,2021.0
2,High Point (SoCon),1,1-0,21,48,0.438,02/14/2021,2021.0
3,North Carolina (ACC),2,2-0,42,106,0.396,02/14/2021,2021.0
4,Duke (ACC),3,3-0,45,115,0.391,02/14/2021,2021.0
5,Jacksonville (SoCon),2,1-1,26,68,0.382,02/14/2021,2021.0
6,Stony Brook (America East),1,1-0,20,55,0.364,02/14/2021,2021.0
7,St. John's (NY) (Big East),1,1-0,19,53,0.358,02/14/2021,2021.0
8,Virginia (ACC),2,2-0,34,97,0.351,02/14/2021,2021.0
9,Robert Morris (DI Independent),2,0-2,27,81,0.333,02/14/2021,2021.0
10,Utah (DI Independent),2,1-1,20,67,0.299,02/14/2021,2021.0
11,Bellarmine (SoCon),3,1-2,24,82,0.293,02/14/2021,2021.0
12,Mercer (SoCon),3,1-2,32,117,0.274,02/14/2021,2021.0
13,Towson (CAA),2,1-1,19,73,0.260,02/14/2021,2021.0
14,Sacred Heart (NEC),1,0-1,8,32,0.250,02/14/2021,2021.0
15,Army West Point (Patriot),1,0-1,9,37,0.243,02/14/2021,2021.0
16,Denver (Big East),4,2-2,47,194,0.242,02/14/2021,2021.0
17,Bryant (NEC),1,1-0,9,38,0.237,02/14/2021,2021.0
18,Loyola Maryland (Patriot),1,1-0,8,36,0.222,02/14/2021,2021.0
19,Richmond (SoCon),1,0-1,7,32,0.219,02/14/2021,2021.0
20,Saint Joseph's (NEC),1,0-1,7,34,0.206,02/14/2021,2021.0
21,Providence (Big East),1,0-1,8,42,0.190,02/14/2021,2021.0
22,Air Force (SoCon),1,0-1,6,35,0.171,02/14/2021,2021.0
1,Hofstra (CAA),1,0-1,18,35,0.514,02/13/2021,2021.0
2,High Point (SoCon),1,1-0,21,48,0.438,02/13/2021,2021.0
3,Virginia (ACC),1,1-0,20,50,0.400,02/13/2021,2021.0
4,North Carolina (ACC),2,2-0,42,106,0.396,02/13/2021,2021.0
5,Duke (ACC),3,3-0,45,115,0.391,02/13/2021,2021.0
6,Jacksonville (SoCon),2,1-1,26,68,0.382,02/13/2021,2021.0
7,Stony Brook (America East),1,1-0,20,55,0.364,02/13/2021,2021.0
8,St. John's (NY) (Big East),1,1-0,19,53,0.358,02/13/2021,2021.0
9,Robert Morris (DI Independent),2,0-2,27,81,0.333,02/13/2021,2021.0
10,Utah (DI Independent),2,1-1,20,67,0.299,02/13/2021,2021.0
11,Bellarmine (SoCon),3,1-2,24,82,0.293,02/13/2021,2021.0
12,Mercer (SoCon),3,1-2,32,117,0.274,02/13/2021,2021.0
13,Towson (CAA),2,1-1,19,73,0.260,02/13/2021,2021.0
14,Sacred Heart (NEC),1,0-1,8,32,0.250,02/13/2021,2021.0
15,Denver (Big East),4,2-2,47,194,0.242,02/13/2021,2021.0
16,Bryant (NEC),1,1-0,9,38,0.237,02/13/2021,2021.0
17,Saint Joseph's (NEC),1,0-1,7,34,0.206,02/13/2021,2021.0
18,Providence (Big East),1,0-1,8,42,0.190,02/13/2021,2021.0
19,Air Force (SoCon),1,0-1,6,35,0.171,02/13/2021,2021.0
1,North Carolina (ACC),1,1-0,24,53,0.453,02/10/2021,2021.0
2,Jacksonville (SoCon),1,1-0,19,44,0.432,02/10/2021,2021.0
3,Virginia (ACC),1,1-0,20,50,0.400,02/10/2021,2021.0
4,Towson (CAA),1,0-1,11,31,0.355,02/10/2021,2021.0
5,Duke (ACC),2,2-0,28,80,0.350,02/10/2021,2021.0
6,Robert Morris (DI Independent),1,0-1,12,40,0.300,02/10/2021,2021.0
7,Utah (DI Independent),2,1-1,20,67,0.299,02/10/2021,2021.0
8,Bellarmine (SoCon),3,1-2,24,82,0.293,02/10/2021,2021.0
9,Mercer (SoCon),2,1-1,24,88,0.273,02/10/2021,2021.0
10,Denver (Big East),3,1-2,32,136,0.235,02/10/2021,2021.0
1,North Carolina (ACC),1,1-0,24,53,0.453,02/07/2021,2021.0
2,Virginia (ACC),1,1-0,20,50,0.400,02/07/2021,2021.0
3,Towson (CAA),1,0-1,11,31,0.355,02/07/2021,2021.0
4,Duke (ACC),2,2-0,28,80,0.350,02/07/2021,2021.0
5,Robert Morris (DI Independent),1,0-1,12,40,0.300,02/07/2021,2021.0
6,Utah (DI Independent),2,1-1,20,67,0.299,02/07/2021,2021.0
7,Mercer (SoCon),2,1-1,24,88,0.273,02/07/2021,2021.0
8,Bellarmine (SoCon),2,1-1,16,60,0.267,02/07/2021,2021.0
9,Denver (Big East),3,1-2,32,136,0.235,02/07/2021,2021.0
1,Duke (ACC),1,1-0,12,30,0.400,02/06/2021,2021.0
1,Virginia (ACC),1,1-0,20,50,0.400,02/06/2021,2021.0
3,Towson (CAA),1,0-1,11,31,0.355,02/06/2021,2021.0
4,Utah (DI Independent),2,1-1,20,67,0.299,02/06/2021,2021.0
5,Mercer (SoCon),2,1-1,24,88,0.273,02/06/2021,2021.0
6,Bellarmine (SoCon),2,1-1,16,60,0.267,02/06/2021,2021.0
7,Denver (Big East),2,1-1,19,94,0.202,02/06/2021,2021.0
1,Duke (ACC),1,1-0,12,30,0.400,02/05/2021,2021.0
2,Bellarmine (SoCon),1,1-0,9,29,0.310,02/05/2021,2021.0
3,Mercer (SoCon),1,0-1,7,31,0.226,02/05/2021,2021.0
4,Utah (DI Independent),1,0-1,8,36,0.222,02/05/2021,2021.0
5,Denver (Big East),2,1-1,19,94,0.202,02/05/2021,2021.0
1,Bellarmine (SoCon),1,1-0,9,29,0.310,01/30/2021,2021.0
2,Mercer (SoCon),1,0-1,7,31,0.226,01/30/2021,2021.0
3,Utah (DI Independent),1,0-1,8,36,0.222,01/30/2021,2021.0
4,Denver (Big East),1,1-0,9,49,0.184,01/30/2021,2021.0
1,Maryland (Big Ten),18,18-0,318,814,0.391,05/30/2022-Final Statistics,2022.0
