Date,Team,Man Down Defense Percent
2015-04-26,Providence,0.767
2015-04-26,Bellarmine,0.745
2015-04-26,Monmouth,0.738
2015-04-26,Furman,0.73
2015-04-26,Maryland,0.727
2015-04-26,Colgate,0.725
2015-04-26,Syracuse,0.718
2015-04-26,Ohio St.,0.714
2015-04-26,High Point,0.708
2015-04-26,Yale,0.707
2015-04-26,Towson,0.703
2015-04-26,Dartmouth,0.702
2015-04-26,Penn St.,0.698
2015-04-26,Hobart,0.697
2015-04-26,Marist,0.695
2015-04-26,Lafayette,0.689
2015-04-26,Manhattan,0.687
2015-04-26,Brown,0.684
2015-04-26,Johns Hopkins,0.683
2015-04-26,North Carolina,0.683
2015-04-26,Michigan,0.675
2015-04-26,Boston U.,0.674
2015-04-26,Marquette,0.667
2015-04-26,Drexel,0.66
2015-04-26,Villanova,0.659
2015-04-26,Siena,0.655
2015-04-26,Quinnipiac,0.653
2015-04-26,Delaware,0.653
2015-04-26,Penn,0.652
2015-04-26,Fairfield,0.652
2015-04-26,Lehigh,0.645
2015-04-26,Mercer,0.643
2015-04-26,Wagner,0.639
2015-04-26,Virginia,0.638
2015-04-26,Vermont,0.631
2015-04-26,Harvard,0.629
2015-04-26,Mount St. Mary's,0.628
2015-04-26,Cornell,0.627
2015-04-26,NJIT,0.627
2015-04-26,Holy Cross,0.622
2015-04-26,UMBC,0.622
2015-04-26,Stony Brook,0.614
2015-04-26,Jacksonville,0.613
2015-04-26,Bryant,0.611
2015-04-26,Army West Point,0.611
2015-04-26,Detroit Mercy,0.609
2015-04-26,Robert Morris,0.6
2015-04-26,Air Force,0.595
2015-04-26,Georgetown,0.587
2015-04-26,Rutgers,0.585
2015-04-26,Bucknell,0.579
2015-04-26,Massachusetts,0.578
2015-04-26,Hofstra,0.578
2015-04-26,Notre Dame,0.567
2015-04-26,Denver,0.556
2015-04-26,Navy,0.545
2015-04-26,Hartford,0.538
2015-04-26,UAlbany,0.538
2015-04-26,Duke,0.537
2015-04-26,Sacred Heart,0.537
2015-04-26,VMI,0.535
2015-04-26,St. John's,0.529
2015-04-26,Binghamton,0.516
2015-04-26,Loyola Maryland,0.515
2015-04-26,Canisius,0.514
2015-04-26,Princeton,0.464
2015-04-26,UMass Lowell,0.519
2015-04-25,Saint Joseph's,0.83
2015-04-25,Richmond,0.792
2015-04-25,Providence,0.767
2015-04-25,Bellarmine,0.745
