Date,Team,Faceoff Percent
2015-05-09,UMass Lowell,0.216
2015-05-06,Denver,0.709
2015-05-06,Bryant,0.67
2015-05-06,Syracuse,0.66
2015-05-06,Cornell,0.648
2015-05-06,Rutgers,0.647
2015-05-06,Boston U.,0.637
2015-05-06,Hofstra,0.606
2015-05-06,Navy,0.6
2015-05-06,Ohio St.,0.59
2015-05-06,Brown,0.588
2015-05-06,Army West Point,0.57
2015-05-06,Fairfield,0.562
2015-05-06,Duke,0.56
2015-05-06,Dartmouth,0.556
2015-05-06,Loyola Maryland,0.552
2015-05-06,High Point,0.55
2015-05-06,Marist,0.546
2015-05-06,Drexel,0.54
2015-05-06,Johns Hopkins,0.536
2015-05-06,Hartford,0.534
2015-05-06,Stony Brook,0.531
2015-05-06,Binghamton,0.53
2015-05-06,Towson,0.529
2015-05-06,Maryland,0.528
2015-05-06,Jacksonville,0.524
2015-05-06,Yale,0.523
2015-05-06,Penn St.,0.517
2015-05-06,Sacred Heart,0.516
2015-05-06,Mercer,0.514
2015-05-06,Saint Joseph's,0.512
2015-05-06,Vermont,0.511
2015-05-06,Air Force,0.505
2015-05-06,Richmond,0.495
2015-05-06,Siena,0.485
2015-05-06,North Carolina,0.483
2015-05-06,Mount St. Mary's,0.48
2015-05-06,Bellarmine,0.478
2015-05-06,Notre Dame,0.478
2015-05-06,Villanova,0.477
2015-05-06,UAlbany,0.476
2015-05-06,Penn,0.476
2015-05-06,Holy Cross,0.468
2015-05-06,VMI,0.466
2015-05-06,Virginia,0.466
2015-05-06,Delaware,0.462
2015-05-06,Lehigh,0.457
2015-05-06,Robert Morris,0.456
2015-05-06,Canisius,0.452
2015-05-06,St. John's,0.45
2015-05-06,Georgetown,0.449
2015-05-06,Detroit Mercy,0.447
2015-05-06,Michigan,0.446
2015-05-06,Princeton,0.441
2015-05-06,UMBC,0.437
2015-05-06,NJIT,0.433
2015-05-06,Marquette,0.432
2015-05-06,Bucknell,0.431
2015-05-06,Massachusetts,0.429
2015-05-06,Wagner,0.429
2015-05-06,Harvard,0.425
2015-05-06,Quinnipiac,0.424
2015-05-06,Furman,0.42
2015-05-06,Monmouth,0.402
2015-05-06,Manhattan,0.401
2015-05-06,Lafayette,0.39
2015-05-06,Hobart,0.387
2015-05-06,Providence,0.383
2015-05-06,Colgate,0.375
2015-05-06,UMass Lowell,0.216
2015-05-03,Denver,0.709
2015-05-03,Bryant,0.672
2015-05-03,Syracuse,0.66
2015-05-03,Cornell,0.648
2015-05-03,Rutgers,0.647
2015-05-03,Boston U.,0.637
2015-05-03,Hofstra,0.606
2015-05-03,Navy,0.6
2015-05-03,Ohio St.,0.59
2015-05-03,Brown,0.588
2015-05-03,Army West Point,0.57
2015-05-03,High Point,0.563
2015-05-03,Fairfield,0.562
2015-05-03,Duke,0.56
2015-05-03,Dartmouth,0.556
2015-05-03,Marist,0.556
2015-05-03,Loyola Maryland,0.552
2015-05-03,Drexel,0.54
2015-05-03,Johns Hopkins,0.536
2015-05-03,Hartford,0.534
2015-05-03,Stony Brook,0.531
2015-05-03,Binghamton,0.53
2015-05-03,Maryland,0.528
2015-05-03,Jacksonville,0.524
2015-05-03,Yale,0.523
2015-05-03,Towson,0.518
2015-05-03,Penn St.,0.517
2015-05-03,Sacred Heart,0.516
2015-05-03,Mercer,0.514
2015-05-03,Saint Joseph's,0.512
2015-05-03,Vermont,0.511
2015-05-03,Air Force,0.505
2015-05-03,Richmond,0.495
2015-05-03,Siena,0.485
2015-05-03,North Carolina,0.483
2015-05-03,Mount St. Mary's,0.48
2015-05-03,Bellarmine,0.478
2015-05-03,Notre Dame,0.478
2015-05-03,Villanova,0.477
2015-05-03,UAlbany,0.476
2015-05-03,Penn,0.476
