Date,Team,Opponent Clear Percent
2020-02-28,Manhattan,0.821
2020-02-28,UMass Lowell,0.825
2020-02-28,Cornell,0.826
2020-02-28,St. Bonaventure,0.827
2020-02-28,Dartmouth,0.829
2020-02-28,Cleveland St.,0.831
2020-02-28,Penn,0.833
2020-02-28,UAlbany,0.833
2020-02-28,NJIT,0.833
2020-02-28,Drexel,0.844
2020-02-28,Villanova,0.845
2020-02-28,Bryant,0.849
2020-02-28,Richmond,0.854
2020-02-28,Duke,0.854
2020-02-28,Lehigh,0.861
2020-02-28,VMI,0.861
2020-02-28,Brown,0.862
2020-02-28,Hobart,0.863
2020-02-28,Holy Cross,0.865
2020-02-28,Colgate,0.865
2020-02-28,Quinnipiac,0.865
2020-02-28,Boston U.,0.87
2020-02-28,Air Force,0.871
2020-02-28,Hampton,0.877
2020-02-28,Delaware,0.877
2020-02-28,Utah,0.879
2020-02-28,Marist,0.879
2020-02-28,Marquette,0.88
2020-02-28,Mercer,0.881
2020-02-28,Canisius,0.882
2020-02-28,Stony Brook,0.882
2020-02-28,Johns Hopkins,0.883
2020-02-28,St. John's,0.884
2020-02-28,Monmouth,0.885
2020-02-28,LIU,0.887
2020-02-28,Wagner,0.889
2020-02-28,Providence,0.889
2020-02-28,Towson,0.895
2020-02-28,Mount St. Mary's,0.895
2020-02-28,Hartford,0.902
2020-02-28,Maryland,0.913
2020-02-28,Binghamton,0.916
2020-02-28,High Point,0.916
2020-02-28,Lafayette,0.917
2020-02-28,UMBC,0.923
2020-02-28,Notre Dame,0.929
2020-02-28,Detroit Mercy,0.94
2020-02-28,Saint Joseph's,0.945
2020-02-28,Harvard,0.966
2020-02-28,Merrimack,0.848
2020-02-26,Bucknell,0.714
2020-02-26,Jacksonville,0.721
2020-02-26,North Carolina,0.724
2020-02-26,Penn St.,0.739
2020-02-26,Ohio St.,0.744
2020-02-26,Hofstra,0.753
