Date,Team,Saves per Game
2015-05-03,Cornell,8.47
2015-05-03,Yale,8.4
2015-05-03,Stony Brook,8.33
2015-05-03,Hofstra,8.14
2015-05-03,UMass Lowell,13.0
2015-05-02,Detroit Mercy,15.14
2015-05-02,Providence,13.93
2015-05-02,Michigan,13.62
2015-05-02,Virginia,13.5
2015-05-02,Vermont,13.44
2015-05-02,Jacksonville,13.25
2015-05-02,Harvard,13.21
2015-05-02,Georgetown,13.19
2015-05-02,High Point,12.94
2015-05-02,Mercer,12.77
2015-05-02,Penn St.,12.57
2015-05-02,Furman,12.23
2015-05-02,Quinnipiac,12.2
2015-05-02,Brown,12.13
2015-05-02,Hobart,12.07
2015-05-02,Hartford,11.93
2015-05-02,Monmouth,11.86
2015-05-02,Manhattan,11.67
2015-05-02,UAlbany,11.65
2015-05-02,Siena,11.57
2015-05-02,Delaware,11.53
2015-05-02,Boston U.,11.46
2015-05-02,VMI,11.4
2015-05-02,Princeton,11.36
2015-05-02,NJIT,11.33
2015-05-02,North Carolina,11.33
2015-05-02,UMBC,11.31
2015-05-02,Notre Dame,11.17
2015-05-02,Sacred Heart,11.15
2015-05-02,Lafayette,11.07
2015-05-02,Mount St. Mary's,11.07
2015-05-02,Bryant,10.94
2015-05-02,Marist,10.94
2015-05-02,Villanova,10.93
2015-05-02,Duke,10.88
2015-05-02,Penn,10.85
2015-05-02,Bellarmine,10.83
2015-05-02,Robert Morris,10.79
2015-05-02,Richmond,10.75
2015-05-02,Massachusetts,10.73
2015-05-02,Marquette,10.63
2015-05-02,Loyola Maryland,10.47
2015-05-02,Fairfield,10.47
2015-05-02,St. John's,10.43
2015-05-02,Syracuse,10.36
2015-05-02,Dartmouth,10.15
2015-05-02,Canisius,10.13
2015-05-02,Lehigh,10.0
2015-05-02,Binghamton,9.92
2015-05-02,Towson,9.88
2015-05-02,Bucknell,9.8
2015-05-02,Maryland,9.67
2015-05-02,Saint Joseph's,9.53
2015-05-02,Ohio St.,9.47
2015-05-02,Colgate,9.47
2015-05-02,Air Force,9.47
2015-05-02,Drexel,9.47
2015-05-02,Holy Cross,9.46
2015-05-02,Wagner,9.31
2015-05-02,Navy,9.14
2015-05-02,Denver,9.0
2015-05-02,Rutgers,9.0
2015-05-02,Johns Hopkins,9.0
2015-05-02,Army West Point,8.82
2015-05-02,Cornell,8.47
2015-05-02,Stony Brook,8.33
2015-05-02,Yale,8.29
2015-05-02,Hofstra,8.14
2015-05-02,UMass Lowell,13.0
2015-05-01,Detroit Mercy,15.14
2015-05-01,Providence,13.93
2015-05-01,Michigan,13.62
2015-05-01,Georgetown,13.53
2015-05-01,Virginia,13.5
2015-05-01,Vermont,13.44
2015-05-01,Jacksonville,13.25
2015-05-01,Harvard,13.21
2015-05-01,High Point,12.8
2015-05-01,Mercer,12.77
2015-05-01,Penn St.,12.57
2015-05-01,Furman,12.23
2015-05-01,Brown,12.13
2015-05-01,Hobart,12.07
2015-05-01,Hartford,11.93
2015-05-01,Monmouth,11.86
2015-05-01,UAlbany,11.75
2015-05-01,Quinnipiac,11.71
2015-05-01,Manhattan,11.67
2015-05-01,Siena,11.57
2015-05-01,Delaware,11.53
2015-05-01,Boston U.,11.46
2015-05-01,VMI,11.4
2015-05-01,Princeton,11.36
2015-05-01,NJIT,11.33
2015-05-01,North Carolina,11.33
2015-05-01,UMBC,11.31
2015-05-01,Sacred Heart,11.15
2015-05-01,Lafayette,11.07
2015-05-01,Mount St. Mary's,11.07
2015-05-01,Marist,11.07
2015-05-01,Bryant,10.94
2015-05-01,Villanova,10.93
2015-05-01,Duke,10.88
2015-05-01,Richmond,10.87
2015-05-01,Penn,10.85
2015-05-01,Bellarmine,10.83
2015-05-01,Robert Morris,10.79
2015-05-01,Notre Dame,10.64
2015-05-01,Marquette,10.63
2015-05-01,Syracuse,10.54
2015-05-01,Massachusetts,10.5
2015-05-01,Fairfield,10.47
2015-05-01,Loyola Maryland,10.47
2015-05-01,St. John's,10.43
2015-05-01,Dartmouth,10.15
2015-05-01,Canisius,10.13
2015-05-01,Towson,10.07
2015-05-01,Lehigh,10.0
2015-05-01,Binghamton,9.92
2015-05-01,Bucknell,9.8
2015-05-01,Maryland,9.67
2015-05-01,Air Force,9.64
2015-05-01,Ohio St.,9.63
2015-05-01,Saint Joseph's,9.63
2015-05-01,Drexel,9.47
2015-05-01,Holy Cross,9.46
2015-05-01,Wagner,9.31
2015-05-01,Navy,9.23
2015-05-01,Denver,9.14
2015-05-01,Colgate,9.14
2015-05-01,Rutgers,9.0
2015-05-01,Johns Hopkins,8.79
2015-05-01,Army West Point,8.69
2015-05-01,Cornell,8.47
2015-05-01,Yale,8.29
2015-05-01,Stony Brook,8.18
2015-05-01,Hofstra,8.14
2015-05-01,UMass Lowell,13.0
2015-04-30,Detroit Mercy,15.14
2015-04-30,Providence,13.93
2015-04-30,Michigan,13.62
2015-04-30,Georgetown,13.53
2015-04-30,Virginia,13.5
2015-04-30,Vermont,13.44
2015-04-30,Jacksonville,13.25
2015-04-30,Harvard,13.21
2015-04-30,High Point,12.8
2015-04-30,Mercer,12.77
2015-04-30,Penn St.,12.57
2015-04-30,Brown,12.4
2015-04-30,Furman,12.23
2015-04-30,Hobart,12.07
2015-04-30,Hartford,11.93
2015-04-30,Monmouth,11.86
2015-04-30,UAlbany,11.75
2015-04-30,Quinnipiac,11.71
2015-04-30,Manhattan,11.67
2015-04-30,Siena,11.57
2015-04-30,Delaware,11.53
2015-04-30,Boston U.,11.46
2015-04-30,VMI,11.4
2015-04-30,North Carolina,11.33
2015-04-30,NJIT,11.33
2015-04-30,UMBC,11.31
2015-04-30,Princeton,11.15
2015-04-30,Sacred Heart,11.15
2015-04-30,Lafayette,11.07
2015-04-30,Mount St. Mary's,11.07
2015-04-30,Bryant,10.94
2015-04-30,Villanova,10.93
2015-04-30,Duke,10.88
2015-04-30,Richmond,10.87
2015-04-30,Marist,10.87
2015-04-30,Penn,10.85
2015-04-30,Bellarmine,10.83
2015-04-30,Robert Morris,10.79
2015-04-30,Notre Dame,10.64
2015-04-30,Marquette,10.63
2015-04-30,Syracuse,10.54
2015-04-30,Massachusetts,10.5
2015-04-30,Fairfield,10.47
2015-04-30,Loyola Maryland,10.47
2015-04-30,St. John's,10.43
2015-04-30,Dartmouth,10.15
2015-04-30,Canisius,10.13
2015-04-30,Towson,10.07
2015-04-30,Lehigh,10.0
2015-04-30,Binghamton,9.92
2015-04-30,Bucknell,9.8
2015-04-30,Maryland,9.67
2015-04-30,Air Force,9.64
2015-04-30,Ohio St.,9.63
2015-04-30,Saint Joseph's,9.63
2015-04-30,Drexel,9.47
2015-04-30,Holy Cross,9.46
2015-04-30,Wagner,9.31
2015-04-30,Navy,9.23
2015-04-30,Denver,9.14
2015-04-30,Colgate,9.14
2015-04-30,Rutgers,9.0
2015-04-30,Johns Hopkins,8.79
2015-04-30,Army West Point,8.69
2015-04-30,Cornell,8.5
2015-04-30,Yale,8.23
2015-04-30,Stony Brook,8.18
2015-04-30,Hofstra,8.14
2015-04-30,UMass Lowell,13.0
2015-04-26,Detroit Mercy,15.46
2015-04-26,Providence,13.93
2015-04-26,Vermont,13.67
2015-04-26,Georgetown,13.64
2015-04-26,Michigan,13.62
2015-04-26,Virginia,13.5
2015-04-26,Mercer,13.25
