Date,Team,Groundballs per Game
2015-05-06,Massachusetts,26.33
2015-05-06,Delaware,26.27
2015-05-06,Air Force,26.27
2015-05-06,Mount St. Mary's,26.2
2015-05-06,Binghamton,25.85
2015-05-06,Holy Cross,25.69
2015-05-06,Colgate,25.53
2015-05-06,Canisius,25.27
2015-05-06,Marquette,24.88
2015-05-06,UMBC,24.54
2015-05-06,Monmouth,23.0
2015-05-06,NJIT,22.5
2015-05-06,Villanova,22.5
2015-05-06,Manhattan,22.47
2015-05-06,Wagner,22.31
2015-05-06,Hobart,22.29
2015-05-06,Furman,21.69
2015-05-06,UMass Lowell,27.5
2015-05-03,UAlbany,39.65
2015-05-03,Brown,39.19
2015-05-03,North Carolina,38.13
2015-05-03,Duke,37.0
2015-05-03,Cornell,35.47
2015-05-03,Vermont,35.13
2015-05-03,Stony Brook,34.11
2015-05-03,Syracuse,33.79
2015-05-03,Rutgers,32.47
2015-05-03,Virginia,32.21
2015-05-03,Richmond,32.19
2015-05-03,Navy,32.0
2015-05-03,Hartford,31.93
2015-05-03,Dartmouth,31.85
2015-05-03,Loyola Maryland,31.0
2015-05-03,Harvard,30.93
2015-05-03,Boston U.,30.86
2015-05-03,Bryant,30.76
2015-05-03,Denver,30.73
2015-05-03,Notre Dame,30.67
2015-05-03,Saint Joseph's,30.59
2015-05-03,High Point,30.31
2015-05-03,Georgetown,30.25
2015-05-03,Marist,30.25
2015-05-03,St. John's,30.21
2015-05-03,Johns Hopkins,29.67
2015-05-03,Lehigh,29.44
2015-05-03,Siena,29.36
2015-05-03,Quinnipiac,29.0
2015-05-03,Penn,28.92
2015-05-03,Army West Point,28.53
2015-05-03,Fairfield,28.47
2015-05-03,Detroit Mercy,28.21
2015-05-03,Ohio St.,28.18
2015-05-03,Sacred Heart,28.15
2015-05-03,Yale,28.07
2015-05-03,Hofstra,27.86
2015-05-03,Drexel,27.73
2015-05-03,Michigan,27.62
2015-05-03,Penn St.,27.57
2015-05-03,Princeton,27.27
2015-05-03,Mercer,27.08
2015-05-03,Lafayette,26.79
2015-05-03,Towson,26.75
2015-05-03,VMI,26.73
2015-05-03,Maryland,26.67
2015-05-03,Bellarmine,26.67
2015-05-03,Providence,26.64
2015-05-03,Robert Morris,26.64
2015-05-03,Bucknell,26.6
2015-05-03,Jacksonville,26.58
2015-05-03,Massachusetts,26.33
2015-05-03,Delaware,26.27
2015-05-03,Air Force,26.27
2015-05-03,Mount St. Mary's,26.2
2015-05-03,Binghamton,25.85
2015-05-03,Holy Cross,25.69
2015-05-03,Colgate,25.53
2015-05-03,Canisius,25.27
2015-05-03,Marquette,24.88
2015-05-03,UMBC,24.54
2015-05-03,Monmouth,23.0
2015-05-03,NJIT,22.5
2015-05-03,Villanova,22.5
2015-05-03,Manhattan,22.47
2015-05-03,Wagner,22.31
2015-05-03,Hobart,22.29
2015-05-03,Furman,21.69
2015-05-03,UMass Lowell,27.5
2015-05-02,UAlbany,39.65
2015-05-02,Brown,39.19
2015-05-02,North Carolina,38.13
2015-05-02,Duke,37.56
2015-05-02,Cornell,35.47
2015-05-02,Vermont,35.13
2015-05-02,Stony Brook,34.11
2015-05-02,Syracuse,33.79
2015-05-02,Rutgers,32.47
2015-05-02,Virginia,32.21
2015-05-02,Richmond,32.19
2015-05-02,Navy,32.0
2015-05-02,Hartford,31.93
2015-05-02,Dartmouth,31.85
2015-05-02,Boston U.,31.15
2015-05-02,Loyola Maryland,31.0
2015-05-02,Harvard,30.93
2015-05-02,Bryant,30.76
2015-05-02,Denver,30.73
2015-05-02,Notre Dame,30.67
2015-05-02,Saint Joseph's,30.59
2015-05-02,High Point,30.31
2015-05-02,Georgetown,30.25
2015-05-02,Marist,30.25
2015-05-02,St. John's,30.21
2015-05-02,Johns Hopkins,29.67
2015-05-02,Lehigh,29.44
2015-05-02,Siena,29.36
2015-05-02,Quinnipiac,29.0
2015-05-02,Penn,28.92
2015-05-02,Army West Point,28.53
2015-05-02,Fairfield,28.47
2015-05-02,Detroit Mercy,28.21
2015-05-02,Yale,28.21
2015-05-02,Ohio St.,28.18
2015-05-02,Sacred Heart,28.15
2015-05-02,Hofstra,27.86
2015-05-02,Drexel,27.73
2015-05-02,Michigan,27.62
2015-05-02,Penn St.,27.57
2015-05-02,Mercer,27.08
2015-05-02,Princeton,27.07
2015-05-02,Lafayette,26.79
2015-05-02,Towson,26.75
2015-05-02,VMI,26.73
2015-05-02,Maryland,26.67
2015-05-02,Bellarmine,26.67
2015-05-02,Robert Morris,26.64
2015-05-02,Providence,26.64
2015-05-02,Bucknell,26.6
2015-05-02,Jacksonville,26.58
2015-05-02,Massachusetts,26.33
2015-05-02,Air Force,26.27
2015-05-02,Delaware,26.27
2015-05-02,Mount St. Mary's,26.2
2015-05-02,Binghamton,25.85
2015-05-02,Holy Cross,25.69
2015-05-02,Colgate,25.53
2015-05-02,Canisius,25.27
2015-05-02,Marquette,24.88
2015-05-02,UMBC,24.54
2015-05-02,Monmouth,23.0
2015-05-02,NJIT,22.5
2015-05-02,Villanova,22.5
2015-05-02,Manhattan,22.47
2015-05-02,Wagner,22.31
2015-05-02,Hobart,22.29
2015-05-02,Furman,21.69
2015-05-02,UMass Lowell,27.5
2015-05-01,UAlbany,39.94
2015-05-01,Brown,39.19
2015-05-01,North Carolina,38.13
2015-05-01,Duke,37.56
2015-05-01,Cornell,35.47
2015-05-01,Vermont,35.13
2015-05-01,Stony Brook,34.76
2015-05-01,Syracuse,34.15
2015-05-01,Rutgers,32.47
2015-05-01,Virginia,32.21
2015-05-01,Navy,32.0
2015-05-01,Hartford,31.93
2015-05-01,Dartmouth,31.85
2015-05-01,Richmond,31.67
2015-05-01,Georgetown,31.4
2015-05-01,Boston U.,31.15
