Date,Year,Team 1,Score 1,Team 2,Score 2,Winner
2017-03-18,2017,Manhattan,11,Detroit,14,Detroit
2017-03-18,2017,Duke,12,Georgetown,7,Duke
2017-03-18,2017,Notre Dame,11,Virginia,10,Notre Dame
2017-03-18,2017,Syracuse,8,Johns Hopkins,7,Syracuse
2017-03-18,2017,Binghamton,15,Mass.-Lowell,8,Binghamton
2017-03-18,2017,Drexel,9,St. John's (NY),7,Drexel
2017-03-18,2017,UMBC,12,Stony Brook,9,UMBC
2017-03-18,2017,Cornell,8,Yale,17,Yale
2017-03-18,2017,Harvard,8,Brown,13,Brown
2017-03-18,2017,Princeton,17,Penn,8,Princeton
2017-03-18,2017,Dartmouth,6,North Carolina,17,North Carolina
2017-03-18,2017,Richmond,13,Jacksonville,6,Richmond
2017-03-18,2017,Bellarmine,6,Furman,19,Furman
2017-03-18,2017,Air Force,14,Mercer,6,Air Force
2017-03-18,2017,Providence,10,Hofstra,11,Hofstra
2017-03-18,2017,Villanova,13,Maryland,12,Villanova
2017-03-18,2017,Lafayette,7,Lehigh,15,Lehigh
2017-03-18,2017,Army,10,Holy Cross,4,Army
2017-03-18,2017,Bucknell,12,Boston U.,6,Bucknell
2017-03-19,2017,Denver,7,Ohio St.,16,Ohio St.
2017-03-19,2017,Siena,11,Colgate,16,Colgate
2017-03-21,2017,Colgate,6,Cornell,15,Cornell
2017-03-21,2017,Holy Cross,14,Brown,17,Brown
2017-03-21,2017,Bucknell,8,Villanova,13,Villanova
2017-03-21,2017,Providence,11,Mass.-Lowell,4,Providence
2017-03-21,2017,Marist,3,Hartford,9,Hartford
2017-03-21,2017,Harvard,8,Boston U.,13,Boston U.
2017-03-21,2017,Stony Brook,9,Hofstra,11,Hofstra
2017-03-21,2017,Albany (NY),20,Canisius,11,Albany (NY)
2017-03-21,2017,NJIT,6,Fairfield,13,Fairfield
2017-03-21,2017,Dartmouth,6,Navy,11,Navy
2017-03-24,2017,Yale,16,Princeton,13,Yale
2017-03-25,2017,Holy Cross,5,Marist,8,Marist
2017-03-25,2017,UMBC,7,Michigan,10,Michigan
2017-03-25,2017,Ohio St.,7,Notre Dame,12,Notre Dame
2017-03-25,2017,Rutgers,9,Delaware,13,Delaware
2017-03-25,2017,Wagner,11,NJIT,4,Wagner
2017-03-25,2017,Saint Joseph's,7,Bryant,8,Bryant
2017-03-25,2017,Mt. St. Mary's,10,Robert Morris,11,Robert Morris
2017-03-25,2017,Hobart,7,Sacred Heart,8,Sacred Heart
2017-03-25,2017,Siena,9,Monmouth,17,Monmouth
2017-03-25,2017,Canisius,12,Manhattan,10,Canisius
2017-03-25,2017,Cleveland St.,8,Penn St.,15,Penn St.
2017-03-25,2017,Duke,11,Syracuse,12,Syracuse
2017-03-25,2017,Virginia,17,Johns Hopkins,18,Johns Hopkins
2017-03-25,2017,Mass.-Lowell,11,Albany (NY),21,Albany (NY)
2017-03-25,2017,Vermont,5,Binghamton,8,Binghamton
2017-03-25,2017,Harvard,14,Dartmouth,7,Harvard
2017-03-25,2017,Maryland,15,North Carolina,7,Maryland
2017-03-25,2017,Penn,10,Cornell,9,Penn
2017-03-25,2017,Colgate,8,Army,10,Army
2017-03-25,2017,Richmond,12,High Point,4,Richmond
2017-03-25,2017,Mercer,10,Furman,11,Furman
2017-03-25,2017,VMI,8,Bellarmine,13,Bellarmine
2017-03-25,2017,Jacksonville,9,Air Force,10,Air Force
2017-03-25,2017,Marquette,11,Georgetown,10,Marquette
2017-03-25,2017,St. John's (NY),6,Hofstra,9,Hofstra
2017-03-25,2017,Denver,12,Towson,11,Denver
2017-03-25,2017,Villanova,18,Fairfield,9,Villanova
2017-03-25,2017,Lehigh,9,Navy,14,Navy
