Date,Year,Team 1,Score 1,Team 2,Score 2,Winner,Team 1 Assists per Game,Team 2 Assists per Game,Team 1 Caused Turnovers per Game,Team 2 Caused Turnovers per Game,Team 1 Clearing Percent,Team 2 Clearing Percent,Team 1 Faceoff Percent,Team 2 Faceoff Percent,Team 1 Groundballs per Game,Team 2 Groundballs per Game,Team 1 Man Down Defense Percent,Team 2 Man Down Defense Percent,Team 1 Man Up Offense Percent,Team 2 Man Up Offense Percent,Team 1 Opponent Clear Percent,Team 2 Opponent Clear Percent,Team 1 Goals per Game,Team 2 Goals per Game,Team 1 Saves per Game,Team 2 Saves per Game,Team 1 Goals Allowed per Game,Team 2 Goals Allowed per Game,Team 1 Average Margin,Team 2 Average Margin,Team 1 Shot Percent,Team 2 Shot Percent,Team 1 Turnovers per Game,Team 2 Turnovers per Game
2017-02-25,2017,rutgers,8.0,fairfield,3.0,rutgers,5.0,6.0,6.5,4.5,0.868,0.926,0.423,0.49,30.0,27.0,0.714,0.5,0.667,0.167,,,14.0,8.0,12.5,14.0,9.0,13.5,5.0,-5.5,0.322,0.254,11.5,10.5
2017-02-25,2017,towson,11.0,georgetown,10.0,towson,7.0,3.5,9.0,5.0,0.842,0.778,0.789,0.5,36.0,25.5,1.0,0.75,0.286,0.333,,,13.0,6.5,11.0,10.5,5.0,12.5,8.0,-6.0,0.325,0.2,16.0,16.0
2017-02-25,2017,hofstra,10.0,princeton,8.0,hofstra,5.0,10.5,2.0,10.0,0.842,0.893,0.286,0.577,21.0,41.0,0.667,0.5,1.0,0.5,,,11.0,16.0,11.0,12.0,9.0,7.0,2.0,9.0,0.423,0.416,12.0,12.5
2017-02-25,2017,massachusetts,7.0,harvard,11.0,harvard,2.5,8.5,7.5,6.0,0.941,0.966,0.353,0.549,17.5,37.5,0.714,0.5,0.4,,,,4.5,13.0,11.0,10.0,8.5,9.0,-4.0,4.0,0.188,0.361,11.5,15.5
2017-02-25,2017,sacred heart,15.0,dartmouth,8.0,sacred heart,5.0,4.0,6.5,5.0,0.909,0.944,0.417,0.44,23.5,32.0,0.556,1.0,0.5,0.25,,,10.0,8.0,12.0,10.0,10.0,13.0,0.0,-5.0,0.313,0.19,15.0,13.0
2017-02-25,2017,saint joseph's,3.0,duke,16.0,duke,2.5,7.5,5.0,5.25,0.8,0.836,0.4,0.525,19.5,29.0,0.167,0.667,0.2,0.643,,,6.5,12.75,11.0,9.0,13.0,9.25,-6.5,3.5,0.206,0.345,10.5,12.0
2017-02-25,2017,canisius,10.0,air force,15.0,air force,8.0,4.67,2.0,3.0,0.944,0.913,0.56,0.349,24.0,21.0,0.75,0.556,,0.385,,,13.0,7.0,14.0,9.67,8.0,11.33,5.0,-4.33,0.394,0.214,12.0,8.33
2017-02-25,2017,marist,11.0,binghamton,8.0,marist,6.67,7.0,5.0,11.0,0.804,0.941,0.574,0.304,23.0,21.0,0.923,,0.857,,,,9.33,11.0,13.0,15.0,7.33,8.0,2.0,3.0,0.337,0.256,14.67,6.0
2017-02-25,2017,siena,13.0,umass lowell,18.0,mass.-lowell,6.33,6.5,6.0,8.5,0.741,0.73,0.436,0.345,29.33,39.0,0.625,0.75,0.444,0.3,,,11.33,8.5,11.33,11.0,18.33,16.0,-7.0,-7.5,0.288,0.207,14.0,14.0
2017-02-25,2017,detroit mercy,6.0,robert morris,15.0,robert morris,4.75,8.33,5.75,8.33,0.909,0.862,0.426,0.39,23.25,27.33,0.571,0.625,0.375,0.5,,,9.5,13.0,11.75,13.67,12.5,10.33,-3.0,2.67,0.281,0.358,14.75,12.67
